University,Link
"Chalmers Tekniska Högskola (Chalmers)","https://cdn1.utbudet.com/storage/ma/48048602e4914e569319fd3723eb5cca/80dfec45935d48359dc640bfa0fe348a/pdf/1978C8EE26F07EB3149B487F1A9883CEF0D4506F/PDF%20Chalmers_Studentrekrytering_2021.pdf"
"Chalmers Tekniska Högskola (Chalmers)","https://cdn1.utbudet.com/storage/ma/48048602e4914e569319fd3723eb5cca/80dfec45935d48359dc640bfa0fe348a/pdf/1978C8EE26F07EB3149B487F1A9883CEF0D4506F/PDF%20Chalmers_Studentrekrytering_2021.pdf"

"University of Gothenburg","https://www.naturvardsverket.se/4ace39/contentassets/ee536dfeb14e4aa2a0ec09c157643f50/goteborgs-universitets-arsredovisning-2022.pdf"

"KTH Royal Institute of Technology (Master’s outcomes)","https://oic.seu.edu.cn/_upload/article/files/f5/b1/0bc0482f4ec09f7c10d5892a396b/71ed68d5-9bcb-4103-a571-44fce80deb1f.pdf"
"KTH Royal Institute of Technology (All graduates)","https://www.kth.se/en/om/nyheter/centrala-nyheter/survey-says-kth-graduates-among-world-s-most-employable-1.1105604"

"Norwegian University of Science & Technology (NTNU)","https://www.ntnu.no/kandidatundersokelsen"
"Norwegian University of Science & Technology (NTNU)","https://www.ntnu.no/kandidatundersokelsen"

"Universitat Politècnica de València (UPV)","https://www.upv.es/entidades/etsinf/wp-content/uploads/2023/09/Memoria_2021-2022.pdf"

"Gdańsk University of Technology","N/A"

"Politechnika Warszawska (Warsaw University of Tech.)","https://china-cee.eu/2021/05/26/latvia-social-briefing-employment-of-graduates-of-higher-education-institutions-in-latvia/"

"Politecnico di Milano (Polimi) - Master’s outcomes (6 months)","https://cm.careerservice.polimi.it/wp-content/uploads/StatusOccupazionale2019_Polimi_2019-LQ.pdf"
"Politecnico di Milano (Polimi) - Master’s outcomes (12 months)","https://www.polimi.it/il-politecnico/news/dettaglio-news/pubblicati-i-dati-dellindagine-occupazionale-2024"

"RWTH Aachen University","https://globalscholarships.com/universities-germany-high-employability-rate/"

"Technische Universität Berlin (TU Berlin)","https://globalscholarships.com/universities-germany-high-employability-rate/"

"Technical University of Munich (TUM)","https://globalscholarships.com/universities-germany-high-employability-rate/"

"ETH Zurich","https://data-flair.training/blogs/eth-zurich-university/"

"EPFL","https://businessabc.net/wiki/ecole-polytechnique-federale-de-lausanne-epfl"

"University of Copenhagen (KU)","https://www.kk.dk/sites/default/files/2021-05/analyse_af_dimittendledighed_2019_tg__0.pdf"

"University of Helsinki (HY)","https://www.helsinki.fi/en/about-us/careers/graduate-employment"

"University of Cambridge","https://discoveruni.gov.uk/course-details/10007788/UG_CSTX/Full-time/"

"University of Oxford (Undergraduate)","https://www.ox.ac.uk/about/facts-and-figures"
"University of Oxford (Postgraduate)","https://www.ox.ac.uk/about/facts-and-figures"

"University College London (UCL)","https://discoveruni.gov.uk/course-details/10007784/UBSCOMSING18/Full-time/"

"Institut Polytechnique de Paris (IP Paris)","https://www.polytechnique.edu/enquete-emploi"

"Riga Technical University (RTU)","https://china-cee.eu/2021/05/26/latvia-social-briefing-employment-of-graduates-of-higher-education-institutions-in-latvia/"

"University of Tartu (UT)","https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Employment_rates_of_recent_graduates"